posx,posy,ay,ax,az,my,mx,mz
64,-1,-0.0675,0.05,-1.0325000000000002,20.3275,-1115306.9249999998,47.845
64,0,0.0675,-0.1025,-1.0625,10.6525,-58.8825,55.537499999999994
64,0,0.025,-0.1,-0.9800000000000001,8.94,-60.60000000000001,55.965
64,0,-0.235,0.0049999999999999975,-0.9875,15.0625,-68.47,37.057500000000005
64,1,0.065,-0.07750000000000001,-1.0775,20.9425,-60.11,56.395
64,1,-0.1,-0.0575,-1.0374999999999999,8.3875,-73.0775,55.27
64,1,-0.1625,0.0275,-1.0625,14.3275,-71.175,47.527499999999996
64,2,-0.015,0.06499999999999997,-0.9675,17.1475,-56.4225,60.769999999999996
64,2,-0.005000000000000001,-0.035,-1.07,13.715,-61.83,63.440000000000005
64,2,-0.0825,0.0075,-1.0725,16.3475,-68.5325,54.4175
64,3,0.055,-0.0325,-0.8275,22.1675,-1115300.04,64.4025
64,3,0.0325,-0.135,-1.0525,9.059999999999999,-57.897499999999994,66.22
64,3,-0.012499999999999999,0.010000000000000002,-0.9275,19.29,-59.80250000000001,59.435
63,-1,-0.275,0.09499999999999999,-0.74,14.8825,-67.67,26.862499999999997
63,-1,0.15,0.15499999999999997,-1.225,18.4925,-59.495000000000005,37.915
63,-1,-0.01,-0.035,-1.0,10.532499999999999,-80.14999999999999,41.652499999999996
63,0,0.1075,-0.075,-1.1675,19.900000000000002,-55.745,52.065
63,0,-0.125,-0.1525,-1.045,5.9975,-68.96000000000001,44.3225
63,0,-0.185,-0.0675,-1.04,7.8975,-73.8175,36.5775
63,1,0.07500000000000001,0.009999999999999998,-1.0425,18.677500000000002,-57.9575,50.1475
63,1,0.0175,-0.11750000000000002,-1.08,6.977499999999999,-67.3625,51.5875
63,1,-0.1075,-0.03,-0.99,11.877500000000001,-71.79,41.227500000000006
63,2,0.0675,-0.0975,-1.06,14.512500000000001,-58.3275,57.300000000000004
63,2,0.015000000000000001,-0.17250000000000001,-1.055,7.2825,-64.7175,58.6875
63,2,-0.14750000000000002,0.04,-1.0550000000000002,16.595,-72.71000000000001,47.045
63,3,0.065,0.0575,-1.06,18.985,-57.2825,57.3525
63,3,0.06000000000000001,-0.1275,-1.0074999999999998,9.977500000000001,-56.73,60.825
63,3,-0.1975,0.1575,-1.0125,27.68,-69.085,45.4975
62,-1,0.095,-0.03,-1.0750000000000002,19.29,-59.5575,40.0
62,-1,0.235,-0.14250000000000002,-0.8925000000000001,1.96,-55.56,42.4025
