magz,magy,magx,accz,accy,accx,posx,posy
20.522000000000002,34.446000000000005,-13.612,-0.9940000000000001,0.031999999999999994,0.118,1,56
22.182,34.492,-7.422,-1.048,0.038,0.09,1,57
20.184,29.336000000000002,-2.74,-1.01,0.10800000000000001,0.10800000000000001,1,58
21.206,26.384000000000004,-4.652,-1.024,-0.022,0.05,1,59
19.674,32.576,-8.378,-0.9720000000000001,-0.014000000000000002,0.026000000000000002,1,60
16.19,37.492000000000004,-6.564,-1.052,0.08,0.038,1,61
11.430000000000001,37.788,-8.376000000000001,-1.01,0.11399999999999999,0.11200000000000002,1,62
11.684000000000001,35.525999999999996,-8.883999999999999,-1.018,0.086,0.08600000000000001,1,63
13.851999999999999,35.87,-9.334,-1.012,0.10200000000000001,0.08399999999999999,1,64
12.874,41.428,-1.83,-1.0539999999999998,0.152,0.061999999999999986,1,65
11.516,39.262,6.4159999999999995,-1.018,0.19799999999999998,0.08800000000000001,1,66
7.898000000000001,39.312,12.208000000000002,-1.006,0.124,0.10199999999999998,1,67
6.836,37.001999999999995,16.785999999999998,-1.0,0.154,0.098,1,68
9.516000000000002,31.056,29.322000000000003,-1.02,0.11400000000000002,0.038,1,69
13.979999999999999,33.263999999999996,30.176,-1.0539999999999998,0.124,0.044,1,70
16.868000000000002,34.152,14.972,-0.984,0.086,0.078,1,71
19.674,33.462,2.5900000000000003,-0.9880000000000001,0.10600000000000001,0.062,1,72
22.392,27.858000000000004,-9.886,-1.02,0.08399999999999999,0.05,1,73
23.076,29.136000000000003,-15.424000000000001,-1.0419999999999998,0.041999999999999996,0.094,1,74
31.404000000000003,23.042,-16.936,-1.0239999999999998,0.082,0.026000000000000002,1,75
32.638,16.796,-22.322,-1.012,0.03,-0.03,1,76
34.763999999999996,30.366000000000003,-17.389999999999997,-1.052,0.01,0.04,1,77
33.02,34.642,-16.432,-0.8700000000000001,0.052000000000000005,0.05,1,78
34.67999999999999,29.186,-15.779999999999998,-0.976,0.184,0.024,1,79
33.870000000000005,30.514,-17.639999999999997,-1.012,0.072,0.036000000000000004,1,80
